country,population,area,urban_ratio
China,1439323776,9388211,0.61
India,1380004385,2973190,0.35
United States,331002651,9147420,0.83
Indonesia,273523615,1811570,0.56
Pakistan,220892340,770880,0.35
Brazil,212559417,8358140,0.88
Nigeria,206139589,910770,0.52
Bangladesh,164689383,130170,0.39
Russia,145934462,16376870,0.74
Mexico,128932753,1943950,0.84
Japan,126476461,364555,0.92
Ethiopia,114963588,1000000,0.21
Philippines,109581078,298170,0.47
Egypt,102334404,995450,0.43
Vietnam,97338579,310070,0.38
DR Congo,89561403,2267050,0.46
Turkey,84339067,769630,0.76
Iran,83992949,1628550,0.76
Germany,83783942,348560,0.76
Thailand,69799978,510890,0.51
United Kingdom,67886011,241930,0.83
France,65273511,547557,0.82
Italy,60461826,294140,0.69
Tanzania,59734218,885800,0.37
South Africa,59308690,1213090,0.67
Myanmar,54409800,653290,0.31
Kenya,53771296,569140,0.28
South Korea,51269185,97230,0.82
Colombia,50882891,1109500,0.8
Spain,46754778,498800,0.8
Uganda,45741007,199810,0.26
Argentina,45195774,2736690,0.93
Algeria,43851044,2381740,0.73
Sudan,43849260,1765048,0.35
Ukraine,43733762,579320,0.69
Iraq,40222493,434320,0.73
Afghanistan,38928346,652860,0.25
Poland,37846611,306230,0.6
Canada,37742154,9093510,0.81
Morocco,36910560,446300,0.64
Saudi Arabia,34813871,2149690,0.84
Uzbekistan,33469203,425400,0.5
Peru,32971854,1280000,0.79
Angola,32866272,1246700,0.67
Malaysia,32365999,328550,0.78
Mozambique,31255435,786380,0.38
Ghana,31072940,227540,0.57
Yemen,29825964,527970,0.38
Nepal,29136808,143350,0.21
Venezuela,28435940,882050,
Madagascar,27691018,581795,0.39
Cameroon,26545863,472710,0.56
Côte d'Ivoire,26378274,318000,0.51
North Korea,25778816,120410,0.63
Australia,25499884,7682300,0.86
Niger,24206644,1266700,0.17
Taiwan,23816775,35410,0.79
Sri Lanka,21413249,62710,0.18
Burkina Faso,20903273,273600,0.31
Mali,20250833,1220190,0.44
Romania,19237691,230170,0.55
Malawi,19129952,94280,0.18
Chile,19116201,743532,0.85
Kazakhstan,18776707,2699700,0.58
Zambia,18383955,743390,0.45
Guatemala,17915568,107160,0.52
Ecuador,17643054,248360,0.63
Syria,17500658,183630,0.6
Netherlands,17134872,33720,0.92
Senegal,16743927,192530,0.49
Cambodia,16718965,176520,0.24
Chad,16425864,1259200,0.23
Somalia,15893222,627340,0.47
Zimbabwe,14862924,386850,0.38
Guinea,13132795,245720,0.39
Rwanda,12952218,24670,0.18
Benin,12123200,112760,0.48
Burundi,11890784,25680,0.14
Tunisia,11818619,155360,0.7
Bolivia,11673021,1083300,0.69
Belgium,11589623,30280,0.98
Haiti,11402528,27560,0.57
Cuba,11326616,106440,0.78
South Sudan,11193725,610952,0.25
Dominican Republic,10847910,48320,0.85
Czech Republic (Czechia),10708981,77240,0.74
Greece,10423054,128900,0.85
Jordan,10203134,88780,0.91
Portugal,10196709,91590,0.66
Azerbaijan,10139177,82658,0.56
Sweden,10099265,410340,0.88
Honduras,9904607,111890,0.57
United Arab Emirates,9890402,83600,0.86
Hungary,9660351,90530,0.72
Tajikistan,9537645,139960,0.27
Belarus,9449323,202910,0.79
Austria,9006398,82409,0.57
Papua New Guinea,8947024,452860,0.13
Serbia,8737371,87460,0.56
Israel,8655535,21640,0.93
Switzerland,8654622,39516,0.74
Togo,8278724,54390,0.43
Sierra Leone,7976983,72180,0.43
Hong Kong,7496981,1050,
Laos,7275560,230800,0.36
Paraguay,7132538,397300,0.62
Bulgaria,6948445,108560,0.76
Libya,6871292,1759540,0.78
Lebanon,6825445,10230,0.78
Nicaragua,6624554,120340,0.57
Kyrgyzstan,6524195,191800,0.36
El Salvador,6486205,20720,0.73
Turkmenistan,6031200,469930,0.53
Singapore,5850342,700,
Denmark,5792202,42430,0.88
Finland,5540720,303890,0.86
Congo,5518087,341500,0.7
Slovakia,5459642,48088,0.54
Norway,5421241,365268,0.83
Oman,5106626,309500,0.87
State of Palestine,5101414,6020,0.8
Costa Rica,5094118,51060,0.8
Liberia,5057681,96320,0.53
Ireland,4937786,68890,0.63
Central African Republic,4829767,622980,0.43
New Zealand,4822233,263310,0.87
Mauritania,4649658,1030700,0.57
Panama,4314767,74340,0.68
Kuwait,4270571,17820,
Croatia,4105267,55960,0.58
Moldova,4033963,32850,0.43
Georgia,3989167,69490,0.58
Eritrea,3546421,101000,0.63
Uruguay,3473730,175020,0.96
Bosnia and Herzegovina,3280819,51000,0.52
Mongolia,3278290,1553560,0.67
Armenia,2963243,28470,0.63
Jamaica,2961167,10830,0.55
Qatar,2881053,11610,0.96
Albania,2877797,27400,0.63
Puerto Rico,2860853,8870,
Lithuania,2722289,62674,0.71
Namibia,2540905,823290,0.55
Gambia,2416668,10120,0.59
Botswana,2351627,566730,0.73
Gabon,2225734,257670,0.87
Lesotho,2142249,30360,0.31
North Macedonia,2083374,25220,0.59
Slovenia,2078938,20140,0.55
Guinea-Bissau,1968001,28120,0.45
Latvia,1886198,62200,0.69
Bahrain,1701575,760,0.89
Equatorial Guinea,1402985,28050,0.73
Trinidad and Tobago,1399488,5130,0.52
Estonia,1326535,42390,0.68
Timor-Leste,1318445,14870,0.33
Mauritius,1271768,2030,0.41
Cyprus,1207359,9240,0.67
Eswatini,1160164,17200,0.3
Djibouti,988000,23180,0.79
Fiji,896445,18270,0.59
Réunion,895312,2500,1.0
Comoros,869601,1861,0.29
Guyana,786552,196850,0.27
Bhutan,771608,38117,0.46
Solomon Islands,686884,27990,0.23
Macao,649335,30,
Montenegro,628066,13450,0.68
Luxembourg,625978,2590,0.88
Western Sahara,597339,266000,0.87
Suriname,586632,156000,0.65
Cabo Verde,555987,4030,0.68
Maldives,540544,300,0.35
Malta,441543,320,0.93
Brunei,437479,5270,0.8
Guadeloupe,400124,1690,
Belize,397628,22810,0.46
Bahamas,393244,10010,0.86
Martinique,375265,1060,0.92
Iceland,341243,100250,0.94
Vanuatu,307145,12190,0.24
French Guiana,298682,82200,0.87
Barbados,287375,430,0.31
New Caledonia,285498,18280,0.72
French Polynesia,280908,3660,0.64
Mayotte,272815,375,0.46
Sao Tome & Principe,219159,960,0.74
Samoa,198414,2830,0.18
Saint Lucia,183627,610,0.19
Channel Islands,173863,190,0.3
Guam,168775,540,0.95
Curaçao,164093,444,0.89
Kiribati,119449,810,0.57
Micronesia,115023,700,0.21
Grenada,112523,340,0.35
St. Vincent & Grenadines,110940,390,0.53
Aruba,106766,180,0.44
Tonga,105695,720,0.24
U.S. Virgin Islands,104425,350,0.96
Seychelles,98347,460,0.56
Antigua and Barbuda,97929,440,0.26
Isle of Man,85033,570,0.53
Andorra,77265,470,0.88
Dominica,71986,750,0.74
Cayman Islands,65722,240,0.97
Bermuda,62278,50,0.97
Marshall Islands,59190,180,0.7
Northern Mariana Islands,57559,460,0.88
Greenland,56770,410450,0.87
American Samoa,55191,200,0.88
Saint Kitts & Nevis,53199,260,0.33
Faeroe Islands,48863,1396,0.43
Sint Maarten,42876,34,0.96
Monaco,39242,1,
Turks and Caicos,38717,950,0.89
Saint Martin,38666,53,0.0
Liechtenstein,38128,160,0.15
San Marino,33931,60,0.97
Gibraltar,33691,10,
British Virgin Islands,30231,150,0.52
Caribbean Netherlands,26223,328,0.75
Palau,18094,460,
Cook Islands,17564,240,0.75
Anguilla,15003,90,
Tuvalu,11792,30,0.62
Wallis & Futuna,11239,140,0.0
Nauru,10824,20,
Saint Barthelemy,9877,21,0.0
Saint Helena,6077,390,0.27
Saint Pierre & Miquelon,5794,230,1.0
Montserrat,4992,100,0.1
Falkland Islands,3480,12170,0.66
Niue,1626,260,0.46
Tokelau,1357,10,0.0
Holy See,801,0,
